Id,Event,Venue,DateTime
cc7a7c2e-959c-40cf-a8d7-bc206fcc89fe,Boston Red Sox vs St Louis Cardinals (Preseason),JetBlue Park,3/23/2015 1:05:00 PM 
0dd0005c-46bd-4866-907f-56f9804a4326,Boston Red Sox vs Texas Rangers,Fenway Park (Baseball),5/20/2015 7:10:00 PM 
abc857a3-b1f7-4d0a-bc59-ccb8da6a3c2e,Boston Red Sox vs Texas Rangers,Fenway Park (Baseball),5/21/2015 7:10:00 PM 
87950ecd-3bec-4a7c-8e12-d8db5659984b,Boston Red Sox vs Toronto Blue Jays,Fenway Park (Baseball),4/27/2015 6:10:00 PM 
ad6efd8e-7e85-4ad7-8a89-b967cec8f94e,Boston Red Sox vs Toronto Blue Jays,Fenway Park (Baseball),4/28/2015 6:10:00 PM 
68dbbe79-0537-4f6a-aa7d-439729863f97,Boston Red Sox vs Toronto Blue Jays,Fenway Park (Baseball),4/29/2015 6:10:00 PM 
872edf68-04f6-4f3d-b304-592e703eeed1,Boston Red Sox vs Toronto Blue Jays,Fenway Park (Baseball),6/12/2015 7:10:00 PM 
2590b820-54ac-4781-871b-2d616e726852,Boston Red Sox vs Toronto Blue Jays,Fenway Park (Baseball),6/13/2015 1:35:00 PM 
b4af9dac-98f3-4385-981c-ab56e598c425,Boston Red Sox vs Toronto Blue Jays,Fenway Park (Baseball),9/7/2015 1:35:00 PM 
655d36c9-bb89-4294-a86d-6f97a4233a8e,Boston Red Sox vs Toronto Blue Jays,Fenway Park (Baseball),9/8/2015 7:10:00 PM 
3c9c4db7-fdbd-4dc2-bc52-8168cd307b12,Boston Red Sox vs Toronto Blue Jays,Fenway Park (Baseball),9/9/2015 7:10:00 PM 
a170c61a-9219-4be7-b2e5-edd875a70ed1,Boston Red Sox vs Washington Nationals,Fenway Park (Baseball),4/13/2015 3:05:00 PM 
2834eed7-4bf1-4701-9eaa-8c5fec73500b,Boston Red Sox vs Washington Nationals,Fenway Park (Baseball),4/14/2015 6:10:00 PM 
018e6f21-c018-479a-8758-1913a8eea281,Boston Red Sox vs Washington Nationals (Jackie Robinson Day),Fenway Park (Baseball),4/15/2015 1:35:00 PM 
8910eb51-d91a-4d30-89a3-89c754b33aa6,Boston University Terriers vs New Hampshire Wildcats,Agganis Arena (Hockey),2/13/2015 7:00:00 PM 
49a32660-d73e-416b-839b-b83d3f6ffb8e,Boston University Terriers vs Notre Dame Fighting Irish,Agganis Arena (Hockey),2/20/2015 7:30:00 PM 
f708e624-9a94-4c50-80ac-d79b6ae5aef4,Boston University Terriers vs Notre Dame Fighting Irish,Agganis Arena (Hockey),2/21/2015 7:00:00 PM 
5aeeefae-5552-4b54-a2ea-d451d141d382,Chayanne,Agganis Arena,8/9/2015 7:00:00 PM 
9a6bd50e-9897-4f63-94e6-683a3b277723,Chicago Blackhawks vs Carolina Hurricanes,United Center (Hockey),3/2/2015 7:30:00 PM 
c60ca6f3-c6dc-44f1-8f86-bc99a96ca2c3,Chicago Blackhawks vs Florida Panthers,United Center (Hockey),2/24/2015 7:30:00 PM 
306d7bad-6147-4a9e-9dee-456846a01001,Chicago Blackhawks vs Minnesota Wild,United Center (Hockey),4/7/2015 7:30:00 PM 
6cca6475-f24d-4251-acb0-46802c636ff0,Cold War Kids,House of Blues Boston,3/21/2015 6:00:00 PM 
c6bef3fe-f0fd-4a7d-b65a-f7425ca5eea4,Crosby Stills and Nash,Wang Theatre,5/19/2015 7:30:00 PM 
6480fb70-d5f5-42ce-b3d8-9c8dce9adbc6,Diana Krall (Rescheduled from 12/02/2014),Citi Shubert Theatre,2/25/2015 8:00:00 PM 
c19dfb21-38d3-4c37-812d-614faf7bd924,Dirty Dancing,Colonial Theatre Boston,4/28/2015 7:30:00 PM 
244a392a-9ef1-4aeb-8a63-b9f43028ac5a,Dirty Dancing,Colonial Theatre Boston,5/2/2015 8:00:00 PM 
cec15122-7227-448e-a86b-cd6f4ab041fc,Dirty Dancing,Colonial Theatre Boston,5/3/2015 1:00:00 PM 
5300ba96-e8c7-4504-9a6a-aea95d3b9caf,Dirty Dancing,Colonial Theatre Boston,5/3/2015 6:30:00 PM 
abd8fc9b-d0f5-4f29-a0e1-699a49784e35,Dirty Dancing,Colonial Theatre Boston,5/7/2015 8:00:00 PM 
1477662d-95dc-4801-b612-ff05e37523af,Dirty Dancing,Colonial Theatre Boston,5/9/2015 2:00:00 PM 
7923ece3-777a-4ad3-a6c6-639c3876e21b,Dirty Dancing,Colonial Theatre Boston,5/9/2015 8:00:00 PM 
bfc29871-f175-4e20-b176-8c010ce98223,Dirty Dancing,Colonial Theatre Boston,5/10/2015 1:00:00 PM 
a9a93685-cafb-404b-9536-cb5bfdfc6910,Disney On Ice: Frozen,TD Garden (Ice Show),2/14/2015 11:00:00 AM 
748fc9a4-de1d-4dba-80ab-a0ab07d0c638,Disney On Ice: Frozen,TD Garden (Ice Show),2/14/2015 3:00:00 PM 
15ee5092-e28a-4d0e-9454-9b87a67df50a,Disney On Ice: Frozen,TD Garden (Ice Show),2/16/2015 3:00:00 PM 
4dea7221-fbcf-4a15-aeef-84823eb96280,Disney On Ice: Frozen,TD Garden (Ice Show),2/21/2015 11:00:00 AM 
620e8a88-260b-4112-b5c8-a363d989d31b,Disney On Ice: Frozen,TD Garden (Ice Show),2/22/2015 1:00:00 PM 
d98c9ed7-adaf-4518-9fb1-a54de71b2dcb,Dropkick Murphys,House of Blues Boston,3/12/2015 6:00:00 PM 
0c06d436-7e1a-4baf-a6b2-bc3c864883d9,Dropkick Murphys,House of Blues Boston,3/13/2015 6:00:00 PM 
0943553e-7403-41a5-a6aa-c2b4fc95ed2a,Dropkick Murphys,House of Blues Boston,3/14/2015 6:00:00 PM 
e3a249b4-fd99-4768-bdf8-5461ffd26cb1,Dropkick Murphys,House of Blues Boston,3/15/2015 6:00:00 PM 
059caf7a-d433-40da-99fa-b6a1bb884d58,Faith No More,Orpheum Theatre - MA,5/11/2015 7:30:00 PM 
bcee5673-0099-449d-a7be-9305f90b0fc7,Fall Out Boy and Wiz Khalifa,Xfinity Center - MA,6/14/2015 7:00:00 PM 
9930b434-8767-4b2b-be9b-fb53217e83be,Fifth Harmony,Wilbur Theatre (End Stage),3/24/2015 7:00:00 PM 
4f7327f1-ca12-47b2-b60c-37917cf71282,Florida Georgia Line,Mohegan Sun Arena,2/21/2015 7:30:00 PM 
5ce827ed-db33-44ee-8cb5-e6437c9cb0fb,Foo Fighters,Fenway Park (Concert),7/18/2015 6:00:00 PM 
9f26fc66-73df-49ce-b528-655e7b01c612,Foo Fighters ,Fenway Park (Concert),7/19/2015 6:00:00 PM 
597ab1e3-035e-438f-ab15-a59dd7ed2286,G Love and Special Sauce ,House of Blues Boston,3/7/2015 6:00:00 PM 
ca10789c-2fba-4f4b-a364-85ae12fc9f41,Harlem Globetrotters,TD Garden (Basketball),3/28/2015 7:30:00 PM 
090d8b65-9486-4e15-af29-ea89bc5b8c73,Harlem Globetrotters,TD Garden (Basketball),3/29/2015 1:00:00 PM 
39ee4bfb-5b7c-4c36-94c9-e70bb0b72866,Harvard Crimson vs Pennsylvania Quakers,Lavietes Pavilion (Harvard),2/20/2015 7:00:00 PM 
c702ae20-bce4-40d8-b072-d8a59cb4825f,Hockey East Finals,TD Garden (Hockey),3/21/2015 7:00:00 PM 
ffeef016-f6fe-4e03-8ef1-67a68ca73e08,Hockey East Semi-Finals,TD Garden (Hockey),3/20/2015 5:00:00 PM 
0c270e02-e552-48b0-bf85-79b9461bac61,Idina Menzel,Blue Hills Bank Pavillion (End Stage),8/28/2015 8:00:00 PM 
e5fad238-cc2f-41e7-b4e4-bd72d73053e1,Impractical Jokers,Wilbur Theatre (End Stage),4/3/2015 7:30:00 PM 
43926734-f9ad-4b68-9b1d-1a70d3e0463a,Impractical Jokers,Wilbur Theatre (End Stage),6/19/2015 10:00:00 PM 
32c3ca44-1ca9-45de-bdb3-bf565cf5eaf8,Interpol (Rescheduled from 11/21/2014),House of Blues Boston,7/23/2015 7:00:00 PM 
3b246169-a73c-4045-90b0-d43ca03488a0,James Taylor,Fenway Park (Concert),8/6/2015 5:00:00 PM 
1f64697d-033e-4dbb-b438-4852949de934,Jeff Beck,Orpheum Theatre - MA,4/19/2015 7:30:00 PM 
98086971-d3b9-4a4a-bc2f-f356504ac6fa,Jesse Cook,Wilbur Theatre (End Stage),3/11/2015 7:30:00 PM 
461c460f-45ec-4d2e-a1b5-ac9bdc99ed0f,Kenny Chesney,Hard Rock Hotel Las Vegas,4/3/2015 8:00:00 PM 
51fe84cc-9372-4568-8853-4d27c2f579cc,Kenny Chesney and Jason Aldean,Gillette Stadium,8/28/2015 5:00:00 PM 
d4412e89-0058-42b6-8387-5822d38d6f42,Kenny Chesney and Jason Aldean with Brantley Gilbert,Gillette Stadium (Kenny Chesney),8/29/2015 5:00:00 PM 
d23debae-e961-4da7-91f5-1d5908944fa5,Kinky Boots,Boston Opera House,8/22/2015 2:00:00 PM 
312160f2-1b63-45c8-8801-4b986651fc8a,Kinky Boots,Boston Opera House,8/22/2015 8:00:00 PM 
a742dcc9-4916-44c7-b1e9-9c487c4a3aa3,Lauryn Hill,Wilbur Theatre (End Stage),3/18/2015 8:00:00 PM 
e0ff807d-a806-407a-ae04-4de00a4b5504,Maroon 5,TD Garden (End Stage),3/3/2015 7:30:00 PM 
0983d7ab-9f65-473b-adb0-db8019486118,Mastodon,House of Blues Boston,5/17/2015 6:00:00 PM 
91747f95-5831-40f3-a9f3-6dd101a9c628,Miami Heat vs Atlanta Hawks,American Airlines Arena (Basketball),2/28/2015 7:30:00 PM 
